-4.0000000000,-1.0000000000,0.0000000000|0.7255071803,-0.7744928197,0.2219920819
0.7255071803,-0.7744928197,0.2219920819|0.8425544058,1.6782339797,0.3372148311
0.8425544058,1.6782339797,0.3372148311|-0.9652274611,-2.9997632801,-0.0376863791

-4.0000000000,-1.0000000000,0.0000000000|0.6095842567,-0.8904157433,0.0411309832
0.6095842567,-0.8904157433,0.0411309832|0.6716636171,1.7209086517,0.0644316398
0.6716636171,1.7209086517,0.0644316398|-0.8904284736,-2.9999998544,-0.0009348128

-4.0000000000,-1.0000000000,0.0000000000|0.5447040693,-0.9552959307,-0.2928340856
0.5447040693,-0.9552959307,-0.2928340856|0.5710094673,1.7189628423,-0.4651476423
0.5710094673,1.7189628423,-0.4651476423|-0.9182244972,-2.9999880915,0.0084528785

-4.0000000000,-1.0000000000,0.0000000000|0.3599954317,-1.1400045683,-0.1964542883
0.3599954317,-1.1400045683,-0.1964542883|0.2666040646,1.7683714834,-0.3275009732
0.2666040646,1.7683714834,-0.3275009732|-0.9218440214,-2.9998858716,-0.0261678645

-4.0000000000,-1.0000000000,0.0000000000|0.4209211235,-1.0790788765,-0.1221296918
0.4209211235,-1.0790788765,-0.1221296918|0.3700995534,1.7621116229,-0.2006187013
0.3700995534,1.7621116229,-0.2006187013|-0.8982519802,-2.9999689601,-0.0136469175

-4.0000000000,-1.0000000000,0.0000000000|0.7952780509,-0.7047219491,0.1832501738
0.7952780509,-0.7047219491,0.1832501738|0.9408959319,1.6600939464,0.2736209343
0.9408959319,1.6600939464,0.2736209343|-1.0085849859,-2.9996892018,-0.0431820899

-4.0000000000,-1.0000000000,0.0000000000|0.7630697416,-0.7369302584,-0.0442660821
0.7630697416,-0.7369302584,-0.0442660821|0.8963851058,1.6768417467,-0.0666987222
0.8963851058,1.6768417467,-0.0666987222|-0.9610685140,-2.9999901154,0.0077011214

-4.0000000000,-1.0000000000,0.0000000000|0.7976728864,-0.7023271136,-0.0052860937
0.7976728864,-0.7023271136,-0.0052860937|0.9446392487,1.6663687392,-0.0078959316
0.9446392487,1.6663687392,-0.0078959316|-0.9873453390,-2.9999997911,0.0011195687

-4.0000000000,-1.0000000000,0.0000000000|0.2806537834,-1.2193462166,0.0447750126
0.2806537834,-1.2193462166,0.0447750126|0.1264519879,1.7899808147,0.0762521333
0.1264519879,1.7899808147,0.0762521333|-0.9445403887,-2.9999864138,0.0090286872

-4.0000000000,-1.0000000000,0.0000000000|0.3171176224,-1.1828823776,-0.2017261421
0.3171176224,-1.1828823776,-0.2017261421|0.1918057193,1.7752278159,-0.3399498852
0.1918057193,1.7752278159,-0.3399498852|-0.9376514193,-2.9998351682,-0.0314477912

-4.0000000000,-1.0000000000,0.0000000000|0.8067516672,-0.6932483328,0.0990516591
0.8067516672,-0.6932483328,0.0990516591|0.9570185972,1.6614114579,0.1475736081
0.9570185972,1.6614114579,0.1475736081|-1.0022658869,-2.9999133191,-0.0228052110

-4.0000000000,-1.0000000000,0.0000000000|0.8106904674,-0.6893095326,0.1159498143
0.8106904674,-0.6893095326,0.1159498143|0.9623767562,1.6593810769,0.1725592017
0.9623767562,1.6593810769,0.1725592017|-1.0085122345,-2.9998732331,-0.0275787114

-4.0000000000,-1.0000000000,0.0402860343|0.7285787844,-0.7714212156,0.1772598876
0.7285787844,-0.7714212156,0.1772598876|0.8471818308,1.6821041635,0.2483317340
0.8471818308,1.6821041635,0.2483317340|-0.9535318895,-2.9995212180,-0.0535953642

-4.0000000000,-0.9898176801,0.0389780056|0.5987392295,-0.9012607705,0.2987572011
0.5987392295,-0.9012607705,0.2987572011|0.6489767083,1.7075595449,0.4461274277
0.6489767083,1.7075595449,0.4461274277|-0.9332920590,-2.9996432671,-0.0462630516

-4.0000000000,-0.9785516718,0.0341018149|0.3121561178,-1.1878438822,0.1054680873
